ID,Time,Action,EventDescription,UserId,UserDescription
75,2019-06-03 05:32:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-8-8.tar.gz to application zsunday2,4,Profound Publisher (publisher)
74,2019-06-03 05:32:00 +0000 UTC,upload_bundle,Uploaded bundle for app zsunday2 (103567 bytes),4,Profound Publisher (publisher)
73,2019-06-03 05:32:00 +0000 UTC,add_application,Created application zsunday2,4,Profound Publisher (publisher)
72,2019-06-03 05:31:00 +0000 UTC,activate_token,Activated token Tf6dc4f2668a8406709fdcbd307de3343,4,Profound Publisher (publisher)
71,2019-06-02 05:21:00 +0000 UTC,variant_sender,Received a request to email variant 5 (Agro 18) for app 3,1,Ready RStudio (rstudio)
70,2019-06-02 05:21:00 +0000 UTC,assign_user_app_role,Assigned user Profound Publisher (publisher) role 'owner' in app 3,1,Ready RStudio (rstudio)
69,2019-06-02 05:08:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (df3c715e-0cb3-4b78-9cf8-9747a339ed00) for variant 2 (default) for app 3,1,Ready RStudio (rstudio)
68,2019-06-02 05:08:00 +0000 UTC,promote_variant,"Promoted variant 4 (ccmlSCrDrT) for app 3 into variant 5 (Agro 18): bundle_id: <nil> => 3, rendering_id: <nil> => 7, render_time: <nil> => 2019-06-02 05:07:57.666317579 +0000 UTC, render_duration: <nil> => 12991610185",1,Ready RStudio (rstudio)
67,2019-06-02 05:08:00 +0000 UTC,promote_variant_manual_overrides,Promoted overrides (5) for variant 5 (Agro 18) for app 3,1,Ready RStudio (rstudio)
66,2019-06-02 05:08:00 +0000 UTC,duplicate_variant,Created variant 5 (Agro 18) for app 3 as a duplicate of variant 2 (default),1,Ready RStudio (rstudio)
65,2019-06-02 05:07:00 +0000 UTC,variant_render,Received a request to render variant 4 (ccmlSCrDrT) for app 3,1,Ready RStudio (rstudio)
64,2019-06-02 05:07:00 +0000 UTC,promote_variant_manual_overrides,Promoted overrides (4) for variant 4 (ccmlSCrDrT) for app 3,1,Ready RStudio (rstudio)
63,2019-06-02 05:07:00 +0000 UTC,duplicate_variant,Created variant 4 (ccmlSCrDrT) for app 3 as a duplicate of variant 2 (default),1,Ready RStudio (rstudio)
62,2019-06-02 05:07:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (a970df59-5a61-4bfd-968a-2d8aec731b0f) for variant 2 (default) for app 3,1,Ready RStudio (rstudio)
61,2019-05-07 05:22:00 +0000 UTC,add_image_to_app,Added image with MD5 ending in '5ff0c49570' to app qcntqhxboftur,1,Ready RStudio (rstudio)
60,2019-05-07 05:22:00 +0000 UTC,add_vanity,Added vanity url /python/sentiment-analysis/ for app 7,1,Ready RStudio (rstudio)
59,2019-05-07 05:22:00 +0000 UTC,add_app_tag,Added tag Python for app 7,1,Ready RStudio (rstudio)
58,2019-05-07 05:22:00 +0000 UTC,edit_application,Edited application qcntqhxboftur: access_type: acl => all,1,Ready RStudio (rstudio)
57,2019-05-07 05:19:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-7-7.tar.gz to application qcntqhxboftur,1,Ready RStudio (rstudio)
56,2019-05-07 05:19:00 +0000 UTC,upload_bundle,Uploaded bundle for app qcntqhxboftur (4857493 bytes),1,Ready RStudio (rstudio)
55,2019-05-07 05:19:00 +0000 UTC,add_application,Created application qcntqhxboftur,1,Ready RStudio (rstudio)
54,2019-05-07 05:19:00 +0000 UTC,add_image_to_app,Added image with MD5 ending in '4f5d3a9082' to app vijhawbhfqjfv,1,Ready RStudio (rstudio)
53,2019-05-07 05:19:00 +0000 UTC,add_vanity,Added vanity url /python/reticulate/ for app 6,1,Ready RStudio (rstudio)
52,2019-05-07 05:19:00 +0000 UTC,add_app_tag,Added tag Python for app 6,1,Ready RStudio (rstudio)
51,2019-05-07 05:19:00 +0000 UTC,add_tag_with_parent,Added tag Python with ID 4 as a child of 1,1,Ready RStudio (rstudio)
